Port,SupplyDemand,Num Samples
Kalundborg-8a215b9131f6,Demand,39
Kalundborg-8a215b9131f6,Supply,31
Kanokawa-23e6c8f81685,Demand,372
Kaohsiung-744e8721bf8f,Demand,30
Kaohsiung-744e8721bf8f,Supply,22
Karabane-105ea04156fc,Supply,47
Karachi-d8f24cbce54f,Demand,105
Karachi-d8f24cbce54f,Supply,32
Karimun-129f2fb1bc00,Demand,14
Karimun-129f2fb1bc00,Supply,68
Karsto-4ec9bbc93551,Supply,13
Kashima-8e7e597c2046,Demand,424
Kashima-8e7e597c2046,Supply,16
Kawasaki-3c5642389c14,Demand,78
Kawasaki-3c5642389c14,Supply,103
Keelung-ebeced683cfa,Demand,58
Kemaman-89e3dab4fd9b,Demand,107
Kemaman-89e3dab4fd9b,Supply,183
Kerteh-f886d5933d0d,Supply,35
Khalij-e Chabahar-327779f694cd,Demand,524
Kharg-15622ded90e9,Demand,18
Kharg-15622ded90e9,Supply,389
Khasab-567c7511ef5d,Supply,525
Khor Fakkan-6317b39e2dcf,Demand,9
Khor Fakkan-6317b39e2dcf,Supply,229
Khor al Amaya Oil Terminal-12c9d445a32f,Supply,23
Khor al Zubair-6ac463d74ecd,Demand,185
Khor al Zubair-6ac463d74ecd,Supply,115
Kiire-c1d11e2429fa,Demand,30
Kiire-c1d11e2429fa,Supply,14
Kijang-07f52d1400df,Supply,9
Kikuma-8856c476b731,Demand,27
King Fahd Industrial Port Jubail-c2b2fbc77ff4,Supply,396
King Fahd Port-34821f7aa799,Demand,10
King Fahd Port-34821f7aa799,Supply,645
Kingston-24bf0b1e7a21,Demand,557
Kingston-24bf0b1e7a21,Supply,17
Kirkenes-4b38b4662083,Demand,49
Kirkenes-4b38b4662083,Supply,15
Kish-e64f0503522c,Demand,10
Kish-e64f0503522c,Supply,161
Kithira-44cd4008ceb1,Supply,38
Kittiwake Terminal-7a36c7a7c2fd,Supply,457
Klaipeda-0d30f18498ba,Demand,528
Klaipeda-0d30f18498ba,Supply,24
Klintholm-5fd12c0b2425,Demand,188
Klintholm-5fd12c0b2425,Supply,20
Ko Si Chang Harbor-272da3f36a5a,Demand,27
Ko Si Chang Harbor-272da3f36a5a,Supply,103
Kobe-979d4b8273a3,Demand,38
Kochi-cc7460ea0c71,Demand,11
Kochi-cc7460ea0c71,Supply,49
Kota Agung-84a3447ce3f6,Demand,36
Kota Agung-84a3447ce3f6,Supply,110
Kotka-1240173c5e40,Supply,28
Kozmino-62a166ce6f35,Demand,16
Kozmino-62a166ce6f35,Supply,2590
Kralendijk-b24e8ab8457c,Demand,53
Kralendijk-b24e8ab8457c,Supply,212
Kribi-0d18ef4d8b20,Supply,598
Kuala Langsa-957e6e4a28ec,Demand,137
Kuala Langsa-957e6e4a28ec,Supply,20
Kuala Linggi Intl Port-6425839cf0d6,Demand,22
Kuala Linggi Intl Port-6425839cf0d6,Supply,18
Kuala Tanjung-1aa47709b95d,Demand,10
Kuala Tanjung-1aa47709b95d,Supply,177
Kuito-2ac15f568c8e,Demand,185
Kuito-2ac15f568c8e,Supply,17
Kukup-739aed8dab99,Demand,3209
Kukup-739aed8dab99,Supply,17
Kulevi-76c1817b32b4,Supply,29
Kumul-d1c90b85ecf3,Supply,154
Kurihama-150096464713,Demand,209
Kwinana-e56ccfd3aeb7,Demand,362
Kyaukpyu-025759676013,Demand,178
LOOP-c19184b7b547,Demand,59
LOOP-c19184b7b547,Supply,11
La Coruna-0a44300307c1,Demand,12
La Estacada-30ea10c184a9,Supply,845
